id,text,label
1,The government has announced a new plan to build a bridge.,0
2,Aliens spotted in New York City!,1
3,Scientists develop new energy source from water.,0
4,New study reveals the benefits of chocolate.,0
5,A new system designed to detect fake news was launched today.,1
6,President announces new policy on education.,0
7,Mysterious creature found in the Amazon forest.,1
8,A group of conspiracy theorists predict that a zombie apocalypse will occur next year.,1
9,A recent study shows that consuming chocolate can improve health.,0
10,The Mars mission has successfully landed on the planet.,0
